tradingsymbol,name,instrument_type,segment
MAFANG,MIRAE ASSET NYSE FANG+ ETF,EQ,NSE
TNPETRO,TAMILNADU PETROPRODUCTS L,EQ,NSE
TNTELE,TAMILNADU TELECOMMUNICATI,EQ,NSE
TORNTPHARM,TORRENT PHARMACEUTICALS L,EQ,NSE
AXISBPSETF,AXIS NIFTY AAA BOND PLUS SDL APR 2026 50-50 ETF,EQ,NSE
TTKPRESTIG,TTK PRESTIGE,EQ,NSE
ADANIGREEN,ADANI GREEN ENERGY,EQ,NSE
UCAL,UCAL,EQ,NSE
UNICHEMLAB,UNICHEM LABORATORIES,EQ,NSE
MOKSH,MOKSH ORNAMENTS,EQ,NSE
UNITECH,UNITECH,EQ,NSE
UNIVCABLES,UNIVERSAL CABLES,EQ,NSE
AXISHCETF,AXIS NIFTY HEALTHCARE ETF,EQ,NSE
HEALTHIETF,ICICI PRUDENTIAL NIFTY HEALTHCARE ETF,EQ,NSE
JUBLPHARMA,JUBILANT PHARMOVA,EQ,NSE
SOLARA,SOLARA ACTIVE PHA SCI,EQ,NSE
VESUVIUS,VESUVIUS INDIA,EQ,NSE
GAYAHWS,GAYATRI HIGHWAYS,EQ,NSE
VINDHYATEL,VINDHYA TELELINKS,EQ,NSE
VIPIND,VIP INDUSTRIES,EQ,NSE
VLSFINANCE,VLS FINANCE,EQ,NSE
VOLTAS,VOLTAS,EQ,NSE
TATACOMM,TATA COMMUNICATIONS,EQ,NSE
VSTIND,VST INDUSTRIES,EQ,NSE
ANMOL,ANMOL INDIA,EQ,NSE
WALCHANNAG,WALCHANDNAGAR INDUSTRIES,EQ,NSE
FINEORG,FINE ORGANIC IND.,EQ,NSE
WEIZMANIND,WEIZMANN,EQ,NSE
VENKEYS,VENKY S (INDIA),EQ,NSE
RITES,RITES,EQ,NSE
WHEELS,WHEELS INDIA,EQ,NSE
WILLAMAGOR,WILLIAMSON MAGOR,EQ,NSE
WIPRO,WIPRO,EQ,NSE
WSTCSTPAPR,WEST COAST PAPER MILLS LT,EQ,NSE
VINEETLAB,VINEET LABORATORIES,EQ,NSE
ZEEL,ZEE ENTERTAINMENT ENT,EQ,NSE
ARIHANTCAP,ARIHANT CAPITAL MKTS,EQ,NSE
ZODIACLOTH,ZODIAC CLOTHING CO.,EQ,NSE
ZUARIIND,ZUARI INDUSTRIES,EQ,NSE
BHARATRAS,BHARAT RASAYAN,EQ,NSE
TOKYOPLAST,TOKYO PLAST INTL,EQ,NSE
VARROC,VARROC ENGINEERING,EQ,NSE
SOMANYCERA,SOMANY CERAMICS,EQ,NSE
HATSUN,HATSUN AGRO PRODUCT,EQ,NSE
CAPLIPOINT,CAPLIN POINT LAB,EQ,NSE
PREMIERPOL,PREMIER POLYFILM,EQ,NSE
KHAITANLTD,KHAITAN (INDIA)LTD.,EQ,NSE
NATCOPHARM,NATCO PHARMA,EQ,NSE
GOCLCORP,GOCL CORPORATION,EQ,NSE
REMSONSIND,REMSONS INDUSTRIES,EQ,NSE
TNPL,TAMILNADU NEWSPRT & PAPER,EQ,NSE
GREENPLY,GREENPLY INDUSTRIES,EQ,NSE
CORALFINAC,CORAL INDIA FIN & HOUS LT,EQ,NSE
PVP,PVP VENTURES,EQ,NSE
NAVA,NAVA,EQ,NSE
EIMCOELECO,EIMCO ELECON (INDIA),EQ,NSE
JAYAGROGN,JAYANT AGRO ORGANICS,EQ,NSE
PANACEABIO,PANACEA BIOTEC,EQ,NSE
CUBEXTUB,CUBEX TUBINGS,EQ,NSE
MARICO,MARICO,EQ,NSE
SILINV,SIL INVESTMENTS,EQ,NSE
HBSL,HB STOCKHOLDINGS,EQ,NSE
SAMBHAAV,SAMBHAAV MEDIA,EQ,NSE
REGENCERAM,REGENCY CERAMICS,EQ,NSE
BIOFILCHEM,BIOFIL CHEM & PHARMA,EQ,NSE
KEYFINSERV,KEYNOTE FIN SERV,EQ,NSE
ZENITHEXPO,ZENITH EXPORTS,EQ,NSE
SUNDRMBRAK,SUNDARAM BRAK LININGS,EQ,NSE
SANGAMIND,SANGAM (INDIA),EQ,NSE
MOTHERSON,SAMVRDHNA MTHRSN INTL,EQ,NSE
VISAKAIND,VISAKA INDUSTRIES,EQ,NSE
WENDT,WENDT (INDIA),EQ,NSE
HDFCAMC,HDFC AMC,EQ,NSE
DENORA,DE NORA INDIA,EQ,NSE
STERTOOLS,STERLING TOOLS,EQ,NSE
SHRIRAMFIN,SHRIRAM FINANCE,EQ,NSE
PUNJABCHEM,PUNJAB CHEM & CROP PROT L,EQ,NSE
SENSEXIETF,ICICI PRUDENTIAL BSE SENSEX ETF,EQ,NSE
GULFOILLUB,GULF OIL LUB. IND.,EQ,NSE
MIRZAINT,MIRZA INTERNATIONAL LIMIT,EQ,NSE
JAGSNPHARM,JAGSONPAL PHARMACEUTICALS,EQ,NSE
CREDITACC,CREDITACCESS GRAMEEN,EQ,NSE
INDIANCARD,INDIAN CARD CLOTHING CO.,EQ,NSE
ELECTHERM,ELECTROTHERM (I),EQ,NSE
AARTIDRUGS,AARTI DRUGS,EQ,NSE
ALKYLAMINE,ALKYL AMINES CHEM.,EQ,NSE
MPHASIS,MPHASIS,EQ,NSE
SIGIND,SIGNET INDUSTRIES,EQ,NSE
DYNAMATECH,DYNAMATIC TECHNOLOGIES,EQ,NSE
NEXT50IETF,ICICI PRUDENTIAL NIFTY NEXT 50 ETF,EQ,NSE
GUJRAFFIA,GUJARAT RAFFIA INDUST,EQ,NSE
RUCHINFRA,RUCHI INFRASTRUCTURE,EQ,NSE
ATLASCYCLE,ATLAS CYCLE (HARYANA),EQ,NSE
RAMCOIND,RAMCO INDUSTRIES,EQ,NSE
KOTHARIPET,KOTHARI PETROCHEM,EQ,NSE
HERITGFOOD,HERITAGE FOODS,EQ,NSE
SBCL,SHIVALIK BIMETAL CON.,EQ,NSE
BANKBARODA,BANK OF BARODA,EQ,NSE
SONACOMS,SONA BLW PRECISION FRGS L,EQ,NSE
SHYAMMETL,SHYAM METALICS AND ENGY L,EQ,NSE
GAIL,GAIL (INDIA),EQ,NSE
SKMEGGPROD,SKM EGG PROD EXPORT(I) LT,EQ,NSE
BANKINDIA,BANK OF INDIA,EQ,NSE
INDNIPPON,INDIA NIPPON ELECT ,EQ,NSE
CONCOR,CONTAINER CORP OF IND,EQ,NSE
INDRAMEDCO,INDRAPRASTHA MEDICAL CORP,EQ,NSE
TCIFINANCE,TCI FINANCE,EQ,NSE
KCPSUGIND,KCP SUGAR IND CORP,EQ,NSE
DODLA,DODLA DAIRY,EQ,NSE
LIQUIDIETF,ICICI PRUDENTIAL BSE LIQUID RATE ETF - IDCW,EQ,NSE
SNOWMAN,SNOWMAN LOGISTICS,EQ,NSE
KIMS,KRISHNA INST OF MED SCI L,EQ,NSE
INDSWFTLAB,IND SWIFT LABORATORIES LT,EQ,NSE
SAREGAMA,SAREGAMA INDIA,EQ,NSE
ENGINERSIN,ENGINEERS INDIA,EQ,NSE
MADRASFERT,MADRAS FERTILISERS,EQ,NSE
HINDCON,HINDCON CHEMICALS,EQ,NSE
IPL,INDIA PESTICIDES,EQ,NSE
ADROITINFO,ADROIT INFOTECH,EQ,NSE
GANGAFORGE,GANGA FORGING,EQ,NSE
ICICIBANK,ICICI BANK,EQ,NSE
PHARMABEES,NIPPON INDIA NIFTY PHARMA ETF,EQ,NSE
IRCON,IRCON INTERNATIONAL,EQ,NSE
SHARDACROP,SHARDA CROPCHEM,EQ,NSE
SVPGLOB,SVP GLOBAL TEXTILES,EQ,NSE
CLEAN,CLEAN SCIENCE & TECH,EQ,NSE
GRINFRA,G R INFRAPROJECTS,EQ,NSE
SHEMAROO,SHEMAROO ENTER.,EQ,NSE
ETERNAL,ETERNAL - ZOMATO,EQ,NSE
KPIGREEN,KPI GREEN ENERGY,EQ,NSE
SGIL,SYNERGY GREEN IND.,EQ,NSE
CIGNITITEC,CIGNITI TECHNOLOGIES,EQ,NSE
JAICORPLTD,JAI CORP,EQ,NSE
TATVA,TATVA CHIN PHARM CHEM,EQ,NSE
SBIETFCON,SBI ETF CONSUMPTION ETF,EQ,NSE
STYLAMIND,STYLAM INDUSTRIES,EQ,NSE
ANTGRAPHIC,ANTARCTICA,EQ,NSE
GMDCLTD,GUJARAT MINERAL DEV CORP,EQ,NSE
BFSI,MIRAE ASSET NIFTY FINANCIAL SERVICES ETF,EQ,NSE
MAHAPEXLTD,MAHA RASHTRA APEX COPR. L,EQ,NSE
AAREYDRUGS,AAREY DRUGS & PHARM,EQ,NSE
INDUSINDBK,INDUSIND BANK,EQ,NSE
ALIVUS,ALIVUS LIFE SCIENCES,EQ,NSE
ROLEXRINGS,ROLEX RINGS,EQ,NSE
PRITIKAUTO,PRITIKA AUTO INDUS,EQ,NSE
FMCGIETF,ICICI PRUDENTIAL NIFTY FMCG ETF,EQ,NSE
UGROCAP,UGRO CAPITAL,EQ,NSE
EXXARO,EXXARO TILES,EQ,NSE
KRSNAA,KRSNAA DIAGNOSTICS,EQ,NSE
WINDLAS,WINDLAS BIOTECH,EQ,NSE
DEVYANI,DEVYANI INTERNATIONAL,EQ,NSE
ASAHIINDIA,ASAHI INDIA GLASS,EQ,NSE
EPIGRAL,EPIGRAL,EQ,NSE
AAVAS,AAVAS FINANCIERS,EQ,NSE
MOL,MEGHMANI ORGANICS,EQ,NSE
NGIL,NAKODA GROUP OF IND.,EQ,NSE
CARTRADE,CARTRADE TECH,EQ,NSE
NUVOCO,NUVOCO VISTAS CORP,EQ,NSE
TRIGYN,TRIGYN TECHNOLOGIES,EQ,NSE
APTUS,APTUS VALUE HSG FIN I,EQ,NSE
CHEMPLASTS,CHEMPLAST SANMAR,EQ,NSE
GRSE,GARDEN REACH SHIP&ENG,EQ,NSE
YUKEN,YUKEN INDIA,EQ,NSE
SERVOTECH,SERVOTECH REN POW SYS,EQ,NSE
JAIPURKURT,NANDANI CREATION,EQ,NSE
KOTHARIPRO,KOTHARI PRODUCTS,EQ,NSE
ACUTAAS,ACUTAAS CHEMICALS,EQ,NSE
VIJAYA,VIJAYA DIAGNOSTIC CEN,EQ,NSE
INTLCONV,INTL CONVEYORS,EQ,NSE
ASTRAZEN,ASTRAZENECA PHARMA IND LT,EQ,NSE
GANESHBE,GANESH BENZOPLAST,EQ,NSE
CEMPRO,CEMINDIA PROJECTS,EQ,NSE
PAR,PAR DRUGS AND CHEM,EQ,NSE
J&KBANK,J & K BANK,EQ,NSE
SHANTI,SHANTI OVERSEAS INDIA,EQ,NSE
ARCHIES,ARCHIES,EQ,NSE
CUB,CITY UNION BANK,EQ,NSE
AXISCETF,AXIS NIFTY INDIA CONSUMPTION ETF,EQ,NSE
CYIENT,CYIENT,EQ,NSE
SANSERA,SANSERA ENGINEERING,EQ,NSE
MASPTOP50,MIRAE ASSET S&P 500 TOP 50 ETF,EQ,NSE
BANKNIFTY1,KOTAK NIFTY BANK ETF,EQ,NSE
LAGNAM,LAGNAM SPINTEX,EQ,NSE
AXISBANK,AXIS BANK,EQ,NSE
PARAS,PARAS DEF AND SPCE TECH L,EQ,NSE
INTELLECT,INTELLECT DESIGN ARENA,EQ,NSE
MONTECARLO,MONTE CARLO FASHIONS,EQ,NSE
SOUTHBANK,THE SOUTH INDIAN BANK,EQ,NSE
BSLSENETFG,ADITYA BIRLA SUN LIFE BSE SENSEX ETF,EQ,NSE
COASTCORP,COASTAL CORPORATION,EQ,NSE
ABSLAMC,ADIT BIRL SUN LIF AMC,EQ,NSE
EIFFL,EURO (I) FRESH FOODS,EQ,NSE
PASUPTAC,PASUPATI ACRYLON,EQ,NSE
CYBERTECH,CYBERTECH SYSTEMS & SOFTW,EQ,NSE
LICNETFGSC,LIC MF NIFTY 8-13 YR G-SEC ETF,EQ,NSE
ATGL,ADANI TOTAL GAS,EQ,NSE
AIROLAM,AIRO LAM,EQ,NSE
GOODLUCK,GOODLUCK INDIA,EQ,NSE
DIGJAMLMTD,DIGJAM,EQ,NSE
PANSARI,PANSARI DEVELOPERS,EQ,NSE
ARTNIRMAN,ART NIRMAN,EQ,NSE
BHAGCHEM,BHAGIRADHA CHEM & INDS L,EQ,NSE
FCL,FINEOTEX CHEMICAL,EQ,NSE
CAMLINFINE,CAMLIN FINE SCIENCES,EQ,NSE
SIKKO,SIKKO INDUSTRIES,EQ,NSE
DTIL,DHUNSERI TEA & IND.,EQ,NSE
3IINFOLTD,3I INFOTECH,EQ,NSE
SELMC,SEL MANUFACTURING CO,EQ,NSE
MEDICAMEQ,MEDICAMEN BIOTECH,EQ,NSE
GULPOLY,GULSHAN POLYOLS,EQ,NSE
HEALTHY,ADITYA BIRLA SUN LIFE NIFTY HEALTHCARE ETF,EQ,NSE
APOLSINHOT,APOLLO SINDOORI HOTEL,EQ,NSE
NIFTYETF,MIRAE ASSET NIFTY 50 ETF,EQ,NSE
NATIONALUM,NATIONAL ALUMINIUM CO,EQ,NSE
CCHHL,COUNTRY CLUB HOSP HOL,EQ,NSE
LAMBODHARA,LAMBODHARA TEXTILES,EQ,NSE
KRITI,KRITI INDUSTRIES IND,EQ,NSE
MANORG,MANGALAM ORGANICS,EQ,NSE
RSSOFTWARE,R. S. SOFTWARE (INDIA) LI,EQ,NSE
TECHNOE,TECHNO ELEC & ENG CO.,EQ,NSE
CONSUMIETF,ICICI PRUDENTIAL NIFTY INDIA CONSUMPTION ETF,EQ,NSE
TECH,ADITYA BIRLA SUN LIFE NIFTY IT ETF,EQ,NSE
IRIS,IRIS REGTECH SOLUTION,EQ,NSE
NYKAA,FSN E COMMERCE VENTURES,EQ,NSE
FINOPB,FINO PAYMENTS BANK,EQ,NSE
SONATSOFTW,SONATA SOFTWARE,EQ,NSE
GENUSPAPER,GENUS P&B,EQ,NSE
EQUAL50ADD,DSP NIFTY 50 EQUAL WEIGHT ETF,EQ,NSE
SJS,SJS ENTERPRISES,EQ,NSE
POLICYBZR,PB FINTECH,EQ,NSE
SIGACHI,SIGACHI INDUSTRIES,EQ,NSE
FOODSIN,FOODS & INNS,EQ,NSE
PAYTM,ONE 97 COMMUNICATIONS,EQ,NSE
IVC,IL&FS INVESTMENT MANAGERS,EQ,NSE
MOLDTKPAC,MOLD-TEK PACKAGING,EQ,NSE
SAPPHIRE,SAPPHIRE FOODS INDIA,EQ,NSE
JINDALSTEL,JINDAL STEEL,EQ,NSE
NIPPOBATRY,INDO-NATIONAL,EQ,NSE
SBC,SBC EXPORTS,EQ,NSE
STEELCAS,STEELCAST,EQ,NSE
LATENTVIEW,LATENT VIEW ANALYTICS,EQ,NSE
FOCUS,FOCUS LIGHTG & FIXTRS,EQ,NSE
SMLT,SARTHAK METALS,EQ,NSE
GREENLAM,GREENLAM INDUSTRIES,EQ,NSE
DHRUV,DHRUV CONSULTANCY SER,EQ,NSE
BAJAJHCARE,BAJAJ HEALTHCARE,EQ,NSE
VISHNU,VISHNU CHEMICALS,EQ,NSE
RPPL,RAJSHREE POLYPACK,EQ,NSE
TARSONS,TARSONS PRODUCTS,EQ,NSE
GANECOS,GANESHA ECOSPHERE,EQ,NSE
LINC,LINC,EQ,NSE
MENONBE,MENON BEARINGS,EQ,NSE
GOCOLORS,GO FASHION INDIA,EQ,NSE
DMCC,DMCC SPECIALITY CHEMICALS,EQ,NSE
BSOFT,BIRLASOFT,EQ,NSE
SHIVALIK,SHIVALIK RASAYAN,EQ,NSE
ASIANENE,ASIAN ENERGY SERVICES,EQ,NSE
HESTERBIO,HESTER BIOSCIENCES,EQ,NSE
ACCELYA,ACCELYA SOLN INDIA,EQ,NSE
MAHKTECH,MIRAE ASSET HANG SENG TECH ETF,EQ,NSE
STARHEALTH,STAR HEALTH & AL INS CO L,EQ,NSE
SEJALLTD,SEJAL GLASS,EQ,NSE
TEGA,TEGA INDUSTRIES,EQ,NSE
JMA,JULLUNDUR MOT AGENCY,EQ,NSE
ZODIAC,ZODIAC ENERGY,EQ,NSE
ANANDRATHI,ANAND RATHI WEALTH,EQ,NSE
MICEL,MIC ELECTRONICS,EQ,NSE
RATEGAIN,RATEGAIN TRAVEL TECHN,EQ,NSE
BBETF0432,BHARAT BOND ETF - APRIL 2032,EQ,NSE
SHRIRAMPPS,SHRIRAM PROPERTIES,EQ,NSE
JETFREIGHT,JET FREIGHT LOGISTICS,EQ,NSE
SBIETFQLTY,SBI NIFTY 200 QUALITY 30 ETF,EQ,NSE
MAPMYINDIA,C.E. INFO SYSTEMS,EQ,NSE
HCLTECH,HCL TECHNOLOGIES,EQ,NSE
METROBRAND,METRO BRANDS,EQ,NSE
MEDPLUS,MEDPLUS HEALTH SERV,EQ,NSE
JTLIND,JTL INDUSTRIES,EQ,NSE
DCMSRIND,DCM SHRIRAM IND,EQ,NSE
ABSLNN50ET,ADITYA BIRLA SUN LIFE NIFTY NEXT 50 ETF,EQ,NSE
SETFNN50,SBI NIFTY NEXT 50 ETF,EQ,NSE
DATAPATTNS,DATA PATTERNS INDIA,EQ,NSE
SETFNIFBK,SBI NIFTY BANK ETF,EQ,NSE
STAR,STRIDES PHARMA SCI,EQ,NSE
HPAL,HP ADHESIVES,EQ,NSE
SUPRIYA,SUPRIYA LIFESCIENCE,EQ,NSE
GLENMARK,GLENMARK PHARMACEUTICALS,EQ,NSE
NILASPACES,NILA SPACES,EQ,NSE
ALPHA,KOTAK NIFTY ALPHA 50 ETF,EQ,NSE
MANAKCOAT,MAN COAT METAL & IND,EQ,NSE
MONQ50,MOTILAL OSWAL NASDAQ Q 50 ETF,EQ,NSE
HECPROJECT,HEC INFRA PROJECTS,EQ,NSE
NIFTYADD,DSP NIFTY 50 ETF,EQ,NSE
MIDQ50ADD,DSP NIFTY MIDCAP 150 QUALITY 50 ETF,EQ,NSE
HAVISHA,SRI HAVISHA HOSP & INFR L,EQ,NSE
MANAKSTEEL,MANAKSIA STEELS,EQ,NSE
BLUECOAST,BLUE COAST HOTELS,EQ,NSE
WOCKPHARMA,WOCKHARDT,EQ,NSE
ZENTEC,ZEN TECHNOLOGIES,EQ,NSE
TREJHARA,TREJHARA SOLUTIONS,EQ,NSE
NRBBEARING,NRB BEARING,EQ,NSE
UNITEDPOLY,UNITED POLYFAB GUJ.,EQ,NSE
CMSINFO,CMS INFO SYSTEMS,EQ,NSE
SHREERAMA,SHREE RAMA MULTI TECH,EQ,NSE
IMAGICAA,IMAGICAAWORLD ENT,EQ,NSE
MONARCH,MONARCH NETWORTH CAP,EQ,NSE
BCONCEPTS,BRAND CONCEPTS,EQ,NSE
UNIINFO,UNIINFO TELECOM SERVI,EQ,NSE
WEL,WONDER ELECTRICALS,EQ,NSE
NETF,TATA NIFTY 50 ETF,EQ,NSE
AUTOIETF,ICICI PRUDENTIAL NIFTY AUTO ETF,EQ,NSE
BIL,BHARTIYA INTERNATIONAL,EQ,NSE
RAMCOSYS,RAMCO SYSTEMS,EQ,NSE
INOXWIND,INOX WIND,EQ,NSE
AUTOBEES,NIPPON INDIA NIFTY AUTO ETF,EQ,NSE
MHLXMIRU,MAHALAXMI RUBTECH,EQ,NSE
LFIC,LAKSHMI FIN IND CORP,EQ,NSE
BYKE,THE BYKE HOSPITALITY,EQ,NSE
ZYDUSLIFE,ZYDUS LIFESCIENCES,EQ,NSE
AVANTIFEED,AVANTI FEEDS,EQ,NSE
SILVERIETF,ICICI PRUDENTIAL SILVER ETF,EQ,NSE
MALLCOM,MALLCOM (INDIA),EQ,NSE
MAKEINDIA,MIRAE ASSET NIFTY INDIA MANUFACTURING ETF,EQ,NSE
GRWRHITECH,GARWARE HI-TECH FILMS,EQ,NSE
SILVER,ADITYA BIRLA SUN LIFE SILVER ETF,EQ,NSE
CINEVISTA,CINEVISTA,EQ,NSE
MAHLIFE,MAHINDRA LIFESPACE DEVLTD,EQ,NSE
KTKBANK,KARNATAKA BANK,EQ,NSE
DALBHARAT,DALMIA BHARAT,EQ,NSE
MIDCAP,KOTAK NIFTY MIDCAP 50 ETF,EQ,NSE
SILVERBEES,NIPPON INDIA SILVER ETF,EQ,NSE
CROWN,CROWN LIFTERS,EQ,NSE
AWL,AWL AGRI BUSINESS,EQ,NSE
RPSGVENT,RPSG VENTURES,EQ,NSE
AJANTPHARM,AJANTA PHARMA,EQ,NSE
DEVIT,DEV INFO TECHNOLOGY,EQ,NSE
MEGASTAR,MEGASTAR FOODS,EQ,NSE
SPENCERS,SPENCER S RETAIL,EQ,NSE
MANYAVAR,VEDANT FASHIONS,EQ,NSE
SAGARDEEP,SAGARDEEP ALLOYS,EQ,NSE
MOMOMENTUM,MOTILAL OSWAL NIFTY 200 MOMENTUM 30 ETF,EQ,NSE
SOFTTECH,SOFTTECH ENGINEERS,EQ,NSE
PRITI,PRITI INTERNATIONAL,EQ,NSE
BLUESTARCO,BLUE STAR,EQ,NSE
CALSOFT,CALIFORNIA SOFTWARE CO LT,EQ,NSE
GSEC5IETF,ICICI PRUDENTIAL NIFTY 5 YR BENCHMARK G-SEC ETF,EQ,NSE
MIDCAPETF,MIRAE ASSET NIFTY MIDCAP 150 ETF,EQ,NSE
MITCON,MITCON CON & ENG SER,EQ,NSE
XELPMOC,XELPMOC DESIGN & TECH,EQ,NSE
TVSMOTOR,TVS MOTOR COMPANY ,EQ,NSE
MID150BEES,NIPPON INDIA ETF NIFTY MIDCAP 150,EQ,NSE
GATEWAY,GATEWAY DISTRIPARKS,EQ,NSE
GMRP&UI,GMR POW AND URBAN INFRA L,EQ,NSE
CHALET,CHALET HOTELS,EQ,NSE
NLCINDIA,NLC INDIA,EQ,NSE
AKSHOPTFBR,AKSH OPTIFIBRE,EQ,NSE
MSUMI,MOTHERSON SUMI WRNG IND L,EQ,NSE
INDOBORAX,INDO BORAX & CHEMICAL,EQ,NSE
LOWVOL1,KOTAK NIFTY 100 LOW VOLATILITY 30 ETF,EQ,NSE
VETO,VETO SWITCHGEAR CABLE,EQ,NSE
MOLOWVOL,MOTILAL OSWAL BSE LOW VOLATILITY ETF,EQ,NSE
MUKTAARTS,MUKTA ARTS,EQ,NSE
VRLLOG,VRL LOGISTICS,EQ,NSE
SHAILY,SHAILY ENG PLASTICS,EQ,NSE
PNBGILTS,PNB GILTS,EQ,NSE
OBCL,ORISSA BENGAL CARRIER,EQ,NSE
SONAMLTD,SONAM,EQ,NSE
PRIVISCL,PRIVI SPECIALITY CHE,EQ,NSE
AVROIND,AVRO INDIA,EQ,NSE
GAEL,GUJARAT AMBUJA EXPORTS LT,EQ,NSE
USHAMART,USHA MARTIN,EQ,NSE
UMAEXPORTS,UMA EXPORTS,EQ,NSE
CHOICEIN,CHOICE INTERNATIONAL,EQ,NSE
TNIDETF,TATA NIFTY INDIA DIGITAL EXCHANGE TRADED FUND,EQ,NSE
VERANDA,VERANDA LEARNING SOL,EQ,NSE
RITCO,RITCO LOGISTICS,EQ,NSE
ELDEHSG,ELDECO HSG & IND,EQ,NSE
TTML,TATA TELESERV(MAHARASTRA),EQ,NSE
HARIOMPIPE,HARIOM PIPE INDUSTRIES L,EQ,NSE
ANUP,THE ANUP ENGINEERING,EQ,NSE
VCL,VAXTEX COTFAB,EQ,NSE
UFO,UFO MOVIEZ INDIA,EQ,NSE
AGROPHOS,AGRO PHOS INDIA,EQ,NSE
ROTO,ROTO PUMPS,EQ,NSE
PIXTRANS,PIX TRANSMISSIONS,EQ,NSE
ARVINDFASN,ARVIND FASHIONS,EQ,NSE
INDOAMIN,INDO AMINES,EQ,NSE
TIPSMUSIC,TIPS MUSIC,EQ,NSE
BALAJITELE,BALAJI TELEFILMS,EQ,NSE
SNXT50BETA,UTI BSE SENSEX NEXT 50 ETF,EQ,NSE
TPLPLASTEH,TPL PLASTECH,EQ,NSE
NILAINFRA,NILA INFRASTRUCTURES,EQ,NSE
ARROWGREEN,ARROW GREENTECH,EQ,NSE
KRITIKA,KRITIKA WIRES,EQ,NSE
STARTECK,STARTECK FINANCE,EQ,NSE
STLTECH,STERLITE TECHNOLOGIES,EQ,NSE
PNC,PRITISH NANDY COMMUNICATI,EQ,NSE
